k,m,n,fout_hz,fvco_hz,vco_duty,logic_delay_ps,rise_fall_skew_ps,setup_min_ps,hold_min_ps,setup_violations,hold_violations,timing_valid,divider_raw_tie_fs,retimed_raw_tie_fs,retimer_added_raw_tie_fs,common_timing_gain,mean_output_duty_percent
24,6,144,576000000,3456000000,0.6,50,0,91.04616288258444,723.7829425949813,0,0,True,3009.520040294135,160.35588739892526,58.39499776369697,0.9966495470690472,49.99993826137115
24,6,144,576000000,3456000000,0.5,50,4,62.11097415640869,752.718132040288,0,0,True,3009.520040294135,160.35585435539784,58.39499776325762,0.9966495592195043,50.23033825695444
24,6,144,576000000,3456000000,0.4,110,0,-26.82421457057626,841.6533214855568,16384,0,False,3009.520040290689,,,,
25,6,150,600000000,3600000000,0.4,50,0,29.15341070584322,750.80905004915,0,0,True,2990.7901093727514,161.40782632027145,58.335649554404355,0.9996235399322574,50.00003149049249
25,6,150,600000000,3600000000,0.5,50,0,56.93118789866448,723.0312775573616,0,0,True,2990.7901093727514,161.40801204082422,58.33564955456853,0.9996235777598613,50.00003149049219
25,6,150,600000000,3600000000,0.6,50,0,84.70896509148575,695.2535050638791,0,0,True,2990.7901093727514,161.40819776549966,58.33564955235776,0.9996236156607051,50.000031490492425
25,6,150,600000000,3600000000,0.5,50,4,56.93118789866448,723.0312775573616,0,0,True,2990.7901093727514,161.408012048028,58.33564955063204,0.9996235778212903,50.24003148666167
25,6,150,600000000,3600000000,0.4,110,0,-30.846589294118935,810.8090500482651,16384,0,False,2990.790109373454,,,,
26,6,156,624000000,3744000000,0.4,50,0,24.00905024501818,723.3743590678451,0,0,True,3001.390824587402,159.29932918742225,57.827404304585855,0.9976208522193462,49.99995653310841
26,6,156,624000000,3744000000,0.5,50,0,50.71845139157077,696.6649533024218,0,0,True,3001.390824587402,159.29956181920898,57.82740430283648,0.9976207534921371,49.999956533109255
26,6,156,624000000,3744000000,0.6,50,0,77.42785253769983,669.9555475371045,0,0,True,3001.390824587402,159.29979445871055,57.827404301675685,0.9976206548103754,49.999956533109014
26,6,156,624000000,3744000000,0.5,50,4,50.71845139157077,696.6649533024218,0,0,True,3001.390824587402,159.2995618401371,57.82740430534817,0.9976207536361723,50.249556530987135
26,6,156,624000000,3744000000,0.4,110,0,-35.99094975515573,783.3743590678073,16384,0,False,3001.390824595743,,,,
27,6,162,648000000,3888000000,0.4,50,0,19.918065314881982,698.060913125937,0,0,True,2986.48931277654,158.3417744691873,57.52112238972502,1.002312342539617,49.99993395999723
27,6,162,648000000,3888000000,0.5,50,0,45.63822534240113,672.3407481280284,0,0,True,2986.48931277654,158.34195550659146,57.52112238478689,1.0023123912191858,49.99993395999769
27,6,162,648000000,3888000000,0.6,50,0,71.3583853733084,646.6205831301199,0,0,True,2986.48931277654,158.34213655180778,57.521122387013065,1.0023124398865737,49.99993395999719
27,6,162,648000000,3888000000,0.5,50,4,45.63822534240113,672.3407481280284,0,0,True,2986.48931277654,158.34195553905943,57.52112238699801,1.0023123914506304,50.259133955268176
27,6,162,648000000,3888000000,0.4,110,0,-40.08193468423314,758.060913125052,16384,0,False,2986.4893127794985,,,,
28,4,112,672000000,2688000000,0.4,50,0,67.20632793534246,622.5771860943601,0,0,True,2982.891780362002,158.97732952569206,57.872908267178836,1.002505071145787,49.999993836553124
28,4,112,672000000,2688000000,0.5,50,0,104.40870327984184,585.3748133625338,0,0,True,2982.891780362002,158.97739458579878,57.87290826882478,1.0025049571025455,49.99999383655339
28,4,112,672000000,2688000000,0.6,50,0,141.61107862434122,548.1724406324016,0,0,True,2982.891780362002,158.97745965844547,57.87290826119223,1.0025048430800614,49.9999938365538
28,4,112,672000000,2688000000,0.5,50,4,104.40870327984184,585.3748133625338,0,0,True,2982.891780362002,158.97739462500994,57.87290826596866,1.0025049573958718,50.2687938332405
28,4,112,672000000,2688000000,0.4,110,0,7.206327935380292,682.5771860934752,0,0,True,2982.8917803705845,158.97732952569206,57.872908267178836,1.002505071145787,49.999993836553124
29,4,116,696000000,2784000000,0.4,50,0,61.652942121867056,602.7162283774558,0,0,True,2996.309178255325,160.57173267125418,57.6833180054534,0.9992497891928335,49.999967926314646
29,4,116,696000000,2784000000,0.5,50,0,97.57247523208083,566.7966884172865,0,0,True,2996.309178255325,160.57174988531938,57.68331800170493,0.9992499120131942,49.99996792631483
29,4,116,696000000,2784000000,0.6,50,0,133.49200834060053,530.8771484571173,0,0,True,2996.309178255325,160.5717671049281,57.68331800926572,0.999250034842789,49.99996792631462
29,4,116,696000000,2784000000,0.5,50,4,97.57247523208083,566.7966884172865,0,0,True,2996.309178255325,160.57174993018702,57.683318004170054,0.9992499123272177,50.27836792361027
29,4,116,696000000,2784000000,0.4,110,0,1.6529421227519268,662.7162283776297,0,0,True,2996.3091782579904,160.57173267125418,57.6833180054534,0.9992497891928335,49.999967926314646
30,4,120,720000000,2880000000,0.4,50,0,57.17878591127987,583.4356539836041,0,0,True,3034.508386526371,162.3371455412016,57.82900140883175,0.9963434388633474,50.00004649319596
30,4,120,720000000,2880000000,0.5,50,0,91.90100041513166,548.7134286190958,0,0,True,3034.508386526371,162.33723212740924,57.82900141213878,0.9963435541036659,50.00004649319557
30,4,120,720000000,2880000000,0.6,50,0,126.62321491728939,513.9912032537405,0,0,True,3034.508386526371,162.33731868759847,57.829001404210054,0.996343669272874,50.00004649319598
30,4,120,720000000,2880000000,0.5,50,4,91.90100041513166,548.7134286190958,0,0,True,3034.508386526371,162.33723216937366,57.8290014105008,0.9963435544016606,50.28804649698038
30,4,120,720000000,2880000000,0.4,110,0,-2.8212140878352616,643.4356539835662,20,0,False,3034.5083865391416,,,,
31,4,124,744000000,2976000000,0.4,50,0,53.82532474484012,565.8873805218539,0,0,True,2998.1926511118363,163.71515875233675,58.17558877602591,0.999863655870788,49.99985019238567
31,4,124,744000000,2976000000,0.5,50,0,87.42747735468453,532.2852374277894,0,0,True,2998.1926511118363,163.7153559389987,58.17558878118845,0.9998633993809968,49.9998501923859
31,4,124,744000000,2976000000,0.6,50,0,121.02962996452892,498.6830943333013,0,0,True,2998.1926511118363,163.71555311465113,58.175588777042414,0.999863142953381,49.999850192385345
31,4,124,744000000,2976000000,0.5,50,4,87.42747735468453,532.2852374277894,0,0,True,2998.1926511118363,163.7153559754722,58.17558878074826,0.9998633996370025,50.297450198153626
31,4,124,744000000,2976000000,0.4,110,0,-6.174675255333798,625.887380521816,1180,0,False,2998.192651121174,,,,
32,4,128,768000000,3072000000,0.4,50,0,49.62609807788527,548.9026254023698,0,0,True,3002.343655606366,162.9721394995741,58.2354244895518,1.0020348154197014,50.00002965728609
32,4,128,768000000,3072000000,0.5,50,0,82.17817603914233,516.3505468553896,0,0,True,3002.343655606366,162.97254280952092,58.23542448855608,1.002034828153107,50.000029657286014
32,4,128,768000000,3072000000,0.6,50,0,114.7302540003994,483.7984683079857,0,0,True,3002.343655606366,162.97294610393067,58.235424484541205,1.0020348408741167,50.00002965728518
32,4,128,768000000,3072000000,0.5,50,4,82.17817603914233,516.3505468553896,0,0,True,3002.343655606366,162.97254283766642,58.235424490113,1.0020348283479636,50.30722966527313
32,4,128,768000000,3072000000,0.4,110,0,-10.373901922076891,608.902625402332,7750,0,False,3002.3436556154934,,,,
33,4,132,792000000,3168000000,0.4,50,0,43.27419855869075,534.4437658115936,0,0,True,3004.2774771999298,160.0220604957121,58.0956157391852,0.9990281090187626,50.00011915777054
33,4,132,792000000,3168000000,0.5,50,0,74.83984810891748,502.8781021265046,0,0,True,3004.2774771999298,160.02252652008374,58.09561573629239,0.9990278619088038,50.00011915776965
33,4,132,792000000,3168000000,0.6,50,0,106.40549765872069,471.31243844141557,0,0,True,3004.2774771999298,160.02299254180147,58.0956157401854,0.9990276147880908,50.00011915777024
33,4,132,792000000,3168000000,0.5,50,4,74.83984810891748,502.8781021265046,0,0,True,3004.2774771999298,160.02252653611467,58.09561573539295,0.9990278620263122,50.31691916683974
33,4,132,792000000,3168000000,0.4,110,0,-16.725801441271408,594.4437658115557,14646,0,False,3004.2774772085704,,,,
