k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis,vco_l1mhz_dbc_hz,reference_asd_as_sqrt_hz
30,4,120,720000000,2880000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,37.669369435458805,33.78445425710346,6.3213922517116385,6.3213922517116385,68.61627119136463,103.44249570199281,142.40316670623093,True,-125,20
30,4,120,720000000,2880000000,hybrid,1000000,10k_to_fout_over_2,360000000.0,29.775473873825447,36.728595992917754,37.718304576521184,33.828342622094986,37.946804872083746,37.946804872083746,74.5919174407713,103.60426355075592,154.85578273378178,True,-125,20
31,4,124,744000000,2976000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,36.45422848592787,32.69463315203561,6.3213922517116385,6.3213922517116385,66.40284308841738,100.10564100192853,138.3404326206402,True,-125,20
31,4,124,744000000,2976000000,hybrid,1000000,10k_to_fout_over_2,372000000.0,29.775473880704567,36.72859600160658,36.50158508268787,32.73710577106228,38.57408456464001,38.57408456464001,72.33694131578353,100.26219085370542,151.32981335676104,True,-125,20
32,4,128,768000000,3072000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,35.315033845742626,31.6729258660345,6.3213922517116385,6.3213922517116385,64.32775424190434,96.97733972061826,134.54641871532593,True,-125,20
32,4,128,768000000,3072000000,hybrid,1000000,10k_to_fout_over_2,384000000.0,29.775473885440245,36.728596007590426,35.36091055461488,31.714071220883476,39.19132557084538,39.19132557084538,70.22253278091033,97.12899766107792,148.08413559614604,True,-125,20
33,4,132,792000000,3168000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,34.24488130496255,30.71314023373042,6.3213922517116385,6.3213922517116385,62.37842835578604,94.0386324563571,130.99652725393528,True,-125,20
33,4,132,792000000,3168000000,hybrid,1000000,10k_to_fout_over_2,396000000.0,29.77547388859054,36.728596011569344,34.28936781425033,30.753038762976153,39.79899496218464,39.79899496218464,68.23592186873577,94.18569493407952,145.09336618888187,True,-125,20
34,4,136,816000000,3264000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,33.23767891364012,29.809812579797175,6.3213922517116385,6.3213922517116385,60.54376869826291,91.27279032528779,127.66905248784873,True,-125,20
34,4,136,816000000,3264000000,hybrid,1000000,10k_to_fout_over_2,408000000.0,29.77547389063315,36.72859601415042,33.280856998522935,29.84853762498619,40.397524676643215,40.397524676643215,66.36583819698679,91.41552763507431,142.3350358270108,True,-125,20
35,4,140,840000000,3360000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,32.28803094467897,28.958103648945826,6.3213922517116385,6.3213922517116385,58.813946735455396,88.66499631599385,124.54476772280452,True,-125,20
35,4,140,840000000,3360000000,hybrid,1000000,10k_to_fout_over_2,420000000.0,29.775473891885426,36.728596015732,32.329975371385885,28.995722265520897,40.987315110897384,40.987315110897384,64.60230061341007,88.80365558883332,139.78917811644922,True,-125,20
36,4,144,864000000,3456000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,31.391141196215667,28.153711880919552,6.3213922517116385,6.3213922517116385,57.180225992803855,86.20207975166068,121.60658120331266,True,-125,20
36,4,144,864000000,3456000000,hybrid,1000000,10k_to_fout_over_2,432000000.0,29.775473892612094,36.7285960166503,31.431920500744354,28.190285536627908,41.56873825364435,41.56873825364435,62.936435101482495,86.33688752674162,137.43798400360066,True,-125,20
37,4,148,888000000,3552000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,30.542731974696324,27.39280074900281,6.3213922517116385,6.3213922517116385,55.63481447948484,83.8722938124266,118.83924779491379,True,-125,20
37,4,148,888000000,3552000000,hybrid,1000000,10k_to_fout_over_2,444000000.0,29.77547389298924,36.728596017126584,30.582409136255958,27.428385927885547,42.14214042974081,42.14214042974081,61.36032757799735,84.00345826358813,135.26551487666498,True,-125,20
38,4,152,912000000,3648000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,29.738975870099054,26.671937571397475,6.3213922517116385,6.3213922517116385,54.17074041423525,81.66512818578381,116.22912618541584,True,-125,20
38,4,152,912000000,3648000000,hybrid,1000000,10k_to_fout_over_2,456000000.0,29.775473893157695,36.7285960173395,29.77760889600079,26.706586298359174,42.70784471265198,42.70784471265198,59.86689597913611,81.79284105385179,133.25745921365635,True,-125,20
39,4,156,936000000,3744000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,28.976438027276,25.988041736233434,6.3213922517116385,6.3213922517116385,52.78174707028049,79.57115053999448,113.76397343476448,True,-125,20
39,4,156,936000000,3744000000,hybrid,1000000,10k_to_fout_over_2,468000000.0,29.775473893210613,36.728596017406296,29.014080462822765,26.021802034346013,43.26615305293497,43.26615305293497,58.449784690452056,79.69558881822114,131.40092794434943,True,-125,20
40,4,160,960000000,3840000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,28.2520270765941,25.3383406928276,6.3213922517116385,6.3213922517116385,51.462203393523474,77.58187177649461,111.43277033730583,True,-125,20
