k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis
36,4,144,864000000,3456000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,30.850726816311806,27.669031484848045,6.3213922517116385,6.3213922517116385,92.91836606323858,85.67524067430757,149.96604274048246,True
36,4,144,864000000,3456000000,continuous,1000000,10k_to_fout_over_2,432000000.0,58.541182779265284,36.093571853792625,30.888473944988657,27.702885678885007,41.56873825364435,41.56873825364435,97.92490354369666,85.80565911910072,163.8877102739966,True
37,4,148,888000000,3552000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,30.01692338884392,26.9212198230954,6.3213922517116385,6.3213922517116385,90.40705887234024,83.35969362905603,146.78707127245744,True
37,4,148,888000000,3552000000,continuous,1000000,10k_to_fout_over_2,444000000.0,58.54118285059943,36.09357189898645,30.053650362484902,26.95415907266524,42.14214042974081,42.14214042974081,95.35941373889938,83.48658738106329,161.1673436976677,True
38,4,152,912000000,3648000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,29.2270043522954,26.212766669856048,6.3213922517116385,6.3213922517116385,88.02792574412076,81.16601748092297,143.7934864129694,True
38,4,152,912000000,3648000000,continuous,1000000,10k_to_fout_over_2,456000000.0,58.541182914621615,36.093571939547765,29.262764859515023,26.24483912656229,42.70784471265198,42.70784471265198,92.92882105553231,81.2895720373116,158.6398352406523,True
39,4,156,936000000,3744000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,28.47759398428782,25.540644447552044,6.3213922517116385,6.3213922517116385,85.77079944298946,79.08483754551469,140.97071027342403,True
39,4,156,936000000,3744000000,continuous,1000000,10k_to_fout_over_2,468000000.0,58.54118297224511,36.09357197605525,28.5124375842643,25.571894559438668,43.26615305293497,43.26615305293497,90.62275371767832,79.20522413601881,156.2900123230788,True
40,4,160,960000000,3840000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,27.765654134680627,24.902128336363244,6.3213922517116385,6.3213922517116385,83.62652945691471,77.10771660687682,138.3056240538162,True
40,4,160,960000000,3840000000,continuous,1000000,10k_to_fout_over_2,480000000.0,58.54118302424984,36.09357200900298,27.79962667003435,24.932597218212216,43.817348162571335,43.817348162571335,88.43187666168063,77.22509362031558,154.10419070181018,True
41,4,164,984000000,3936000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,27.088443058225,24.294759352549505,6.3213922517116385,6.3213922517116385,81.58685800674607,75.22704059207493,135.78639042755756,True
41,4,164,984000000,3936000000,continuous,1000000,10k_to_fout_over_2,492000000.0,58.541183071304246,36.09357203881442,27.12158701755649,24.324485111029524,44.361695188529396,44.361695188529396,86.34776516262123,75.34155482894143,152.06999555730312,True
