k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis
14,8,112,336000000,2688000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,17.631852309570228,15.813445161095597,6.3213922517116385,6.3213922517116385,324.4033975935483,110.55824314062619,345.0825980049008,False
14,8,112,336000000,2688000000,hybrid,200000,10k_to_fout_over_2,168000000.0,26.901096550330617,16.024755441295476,17.632036238454962,15.81361012103747,25.922191265400397,25.922191265400397,325.8700103969915,110.5596509185033,348.2815539716317,False
15,8,120,360000000,2880000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,16.456395488932213,14.759215483689225,6.3213922517116385,6.3213922517116385,302.7765044206451,103.18769359791779,322.28918973326995,False
15,8,120,360000000,2880000000,hybrid,200000,10k_to_fout_over_2,180000000.0,26.901096556980786,16.024755445636007,16.456567160348794,14.759369450299426,26.83207036365253,26.83207036365253,304.1870668615058,103.18900757659972,325.7096595171591,False
16,8,128,384000000,3072000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,15.42787077087395,13.836764515958649,6.3213922517116385,6.3213922517116385,283.85297289435476,96.73846274804792,302.35852614092846,False
16,8,128,384000000,3072000000,hybrid,200000,10k_to_fout_over_2,192000000.0,26.901096561699628,16.024755448718544,15.428031715794742,13.836908862317387,27.71209122386834,27.71209122386834,285.21406126104284,96.73969464060535,306.02531799358735,False
17,8,136,408000000,3264000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,14.52034896082254,13.022837191490492,6.3213922517116385,6.3213922517116385,267.1557391946868,91.04796493933921,284.78539009615235,False
17,8,136,408000000,3264000000,hybrid,200000,10k_to_fout_over_2,204000000.0,26.901096565136207,16.024755450961646,14.520500440427584,13.022973048709868,28.565013565549037,28.565013565549037,268.4728399483863,91.04912439523649,288.72206944885403,False
18,8,144,432000000,3456000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,13.71366290744351,12.299346236407688,6.3213922517116385,6.3213922517116385,252.31375368387089,85.98974466493148,269.17683340003475,False
18,8,144,432000000,3456000000,hybrid,200000,10k_to_fout_over_2,216000000.0,26.90109656762487,16.024755452587303,13.713805972906158,12.29947454725151,29.393196491705357,29.393196491705357,253.5914908264459,85.99083972709582,273.405918130547,False
19,6,114,456000000,2736000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,17.322521567297066,15.536016298620238,6.3213922517116385,6.3213922517116385,318.7121099164685,108.61862483991347,339.0829027109806,False
19,6,114,456000000,2736000000,hybrid,200000,10k_to_fout_over_2,228000000.0,26.901096569465242,16.024755453788565,17.32270228286424,15.536178376640231,30.198675467642627,30.198675467642627,320.3685182457045,108.62000809710109,343.1910900342367,False
20,6,120,480000000,2880000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,16.456395488932213,14.759215483689225,6.3213922517116385,6.3213922517116385,302.7765044206451,103.18769359791779,322.28918973326995,False
20,6,120,480000000,2880000000,hybrid,200000,10k_to_fout_over_2,240000000.0,26.90109657081434,16.024755454669823,16.456567169626023,14.759369458619886,30.983221265710906,30.983221265710906,304.39016800521205,103.18900770815077,326.63494158456575,False
21,6,126,504000000,3024000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,15.67275760850687,14.056395698751645,6.3213922517116385,6.3213922517116385,288.3585756387096,98.27399390277884,307.10263153966395,False
21,6,126,504000000,3024000000,hybrid,200000,10k_to_fout_over_2,252000000.0,26.9010965718204,16.0247554553265,15.672921114571812,14.056542342118778,31.748385785737202,31.748385785737202,289.9333788934683,98.27524544875868,311.7033793330544,False
22,6,132,528000000,3168000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,14.960359535392922,13.417468621535662,6.3213922517116385,6.3213922517116385,275.2513676551319,93.80699417992525,293.3040590585717,False
22,6,132,528000000,3168000000,hybrid,200000,10k_to_fout_over_2,264000000.0,26.901096572562004,16.024755455810926,14.960515609816259,13.417608599700811,32.49553815526063,32.49553815526063,276.79068900720273,93.80818884721315,298.17661351613,False
23,6,138,552000000,3312000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,14.30990912081062,12.834100420599329,6.3213922517116385,6.3213922517116385,263.2839168875175,89.72842921558069,280.71241906848985,False
23,6,138,552000000,3312000000,hybrid,200000,10k_to_fout_over_2,276000000.0,26.901096573116366,16.024755456172784,14.310058409712603,12.834234313047107,33.22589351695453,33.22589351695453,264.79071280384375,89.72957194860803,285.87303964453514,False
24,6,144,576000000,3456000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,13.71366290744351,12.299346236407688,6.3213922517116385,6.3213922517116385,252.31375368387089,85.98974466493148,269.17683340003475,False
24,6,144,576000000,3456000000,hybrid,200000,10k_to_fout_over_2,288000000.0,26.90109657352483,16.0247554564396,13.713805976202917,12.299474550208263,33.940536236188144,33.940536236188144,253.79062602945532,85.99083979033892,274.641281895369,False
25,6,150,600000000,3600000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,13.16511639114577,11.80737238695138,6.3213922517116385,6.3213922517116385,242.22120353651604,82.55015487833423,258.5705639296452,False
25,6,150,600000000,3600000000,hybrid,200000,10k_to_fout_over_2,300000000.0,26.901096573829157,16.02475545663824,13.165253737317999,11.807495568346301,34.64043879629701,34.64043879629701,243.6704539995374,82.55120620381413,264.35414587240604,False
26,6,156,624000000,3744000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,12.658765760717086,11.353242679760944,6.3213922517116385,6.3213922517116385,232.90500340049624,79.37514892147522,248.78637026719258,False
26,6,156,624000000,3744000000,hybrid,200000,10k_to_fout_over_2,312000000.0,26.901096574051923,16.024755456783755,12.658897824459187,11.353361123513004,35.326477322257865,35.326477322257865,234.3286779003913,79.3761598155175,254.9039668598178,False
27,6,162,648000000,3888000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,12.189922584394232,10.932752210140169,6.3213922517116385,6.3213922517116385,224.2788921634408,76.43532859105021,239.73289906870696,False
27,6,162,648000000,3888000000,hybrid,200000,10k_to_fout_over_2,324000000.0,26.901096574216346,16.02475545689107,12.190049756968259,10.932866267159813,35.99944444015768,35.99944444015768,225.67881733840395,76.43630204800743,246.19899172879718,False
28,4,112,672000000,2688000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,17.631852309570228,15.813445161095597,6.3213922517116385,6.3213922517116385,324.4033975935483,110.55824314062619,345.0825980049008,False
28,4,112,672000000,2688000000,hybrid,200000,10k_to_fout_over_2,336000000.0,26.901096574335064,16.02475545696862,17.63203625570013,15.813610136504105,36.660060010861955,36.660060010861955,326.4701177347283,110.55965118085685,350.76418716195803,False
29,4,116,696000000,2784000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,17.023857402343666,15.268153948644027,6.3213922517116385,6.3213922517116385,313.2170735385983,106.74588992888046,333.2910306386148,False
29,4,116,696000000,2784000000,hybrid,200000,10k_to_fout_over_2,348000000.0,26.90109657442119,16.02475545702483,17.0240350055633,15.268313235298905,37.30898015223679,37.30898015223679,315.2528366222198,106.74724941957895,339.21475085598416,False
30,4,120,720000000,2880000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,16.456395488932213,14.759215483689225,6.3213922517116385,6.3213922517116385,302.7765044206451,103.18769359791779,322.28918973326995,False
30,4,120,720000000,2880000000,hybrid,200000,10k_to_fout_over_2,360000000.0,26.90109657448197,16.024755457064536,16.456567172085293,14.75936946082551,37.946804872083746,37.946804872083746,304.78330690969455,103.1890077752686,328.4659417211963,False
31,4,124,744000000,2976000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,15.925544021547303,14.283111758408928,6.3213922517116385,6.3213922517116385,293.0095204070758,99.8590583205656,312.00064662952707,False
31,4,124,744000000,2976000000,hybrid,200000,10k_to_fout_over_2,372000000.0,26.901096574524843,16.024755457092517,15.925710166561958,14.283260768565757,38.57408456464001,38.57408456464001,294.9891714253727,99.86033010764754,318.4410751682326,False
32,4,128,768000000,3072000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,15.42787077087395,13.836764515958649,6.3213922517116385,6.3213922517116385,283.85297289435476,96.73846274804792,302.35852614092846,False
32,4,128,768000000,3072000000,hybrid,200000,10k_to_fout_over_2,384000000.0,26.901096574553993,16.02475545711156,15.428031723875236,13.836908869564517,39.19132557084538,39.19132557084538,285.80711693012046,96.73969479395114,309.07303769666737,False
33,4,132,792000000,3168000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,14.960359535392922,13.417468621535662,6.3213922517116385,6.3213922517116385,275.2513676551319,93.80699417992525,293.3040590585717,False
33,4,132,792000000,3168000000,hybrid,200000,10k_to_fout_over_2,396000000.0,26.901096574573646,16.02475545712439,14.960515611042508,13.417608600800582,39.79899496218464,39.79899496218464,277.1815039372754,93.80818889295922,300.3028362513325,False
34,4,136,816000000,3264000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,14.52034896082254,13.022837191490492,6.3213922517116385,6.3213922517116385,267.1557391946868,91.04796493933921,284.78539009615235,False
34,4,136,816000000,3264000000,hybrid,200000,10k_to_fout_over_2,408000000.0,26.901096574586205,16.0247554571326,14.520500446019279,13.022973053724876,40.397524676643215,40.397524676643215,269.0632382945409,91.04912451534808,292.0784035516718,False
35,4,140,840000000,3360000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,14.105481847656183,12.65075612887648,6.3213922517116385,6.3213922517116385,259.5227180748387,88.44659451250095,276.7565901872992,False
35,4,140,840000000,3360000000,hybrid,200000,10k_to_fout_over_2,420000000.0,26.90109657459403,16.0247554571377,14.105629004708938,12.650888109336769,40.987315110897384,40.987315110897384,261.40883621077296,88.44772095914297,284.35360823433786,False
36,4,144,864000000,3456000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,13.71366290744351,12.299346236407688,6.3213922517116385,6.3213922517116385,252.31375368387089,85.98974466493148,269.17683340003475,False
36,4,144,864000000,3456000000,hybrid,200000,10k_to_fout_over_2,432000000.0,26.901096574598494,16.024755457140618,13.71380597680285,12.299474550746314,41.56873825364435,41.56873825364435,254.17964508701866,85.99083982258179,277.08742996196446,False
37,4,148,888000000,3552000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,13.343023369404497,11.966931473261536,6.3213922517116385,6.3213922517116385,245.4944630437663,83.66569751182523,262.0097073245807,False
37,4,148,888000000,3552000000,hybrid,200000,10k_to_fout_over_2,444000000.0,26.901096574600864,16.024755457142156,13.34316257202568,11.967056319646218,42.14214042974081,42.14214042974081,247.3411907018347,83.66676307165865,270.2432683147699,False
38,4,152,912000000,3648000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,12.9918911754728,11.65201222396518,6.3213922517116385,6.3213922517116385,239.03408243735134,81.46396862993508,255.222632347312,False
38,4,152,912000000,3648000000,hybrid,200000,10k_to_fout_over_2,456000000.0,26.901096574601894,16.02475545714283,12.992026714867656,11.652133784919174,42.70784471265198,42.70784471265198,240.86262745781724,81.46500614962756,263.7883608067666,False
39,4,156,936000000,3744000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,12.658765760717086,11.353242679760944,6.3213922517116385,6.3213922517116385,232.90500340049624,79.37514892147522,248.78637026719258,False
39,4,156,936000000,3744000000,hybrid,200000,10k_to_fout_over_2,468000000.0,26.90109657460222,16.024755457143048,12.658897824743015,11.35336112376755,43.26615305293497,43.26615305293497,234.716273205339,79.37615983889432,257.6932904549405,False
40,4,160,960000000,3840000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,12.34229661669916,11.069411612766919,6.3213922517116385,6.3213922517116385,227.0823783154838,77.39077019843833,242.67460661975807,False
40,4,160,960000000,3840000000,hybrid,200000,10k_to_fout_over_2,480000000.0,26.901096574602263,16.02475545714307,12.342425379124458,11.06952709567338,43.817348162571335,43.817348162571335,228.8772138354125,77.39175584362205,251.93156722482865,False
41,4,164,984000000,3936000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,12.041264991901619,10.799425963675041,6.3213922517116385,6.3213922517116385,221.5437837224232,75.5031904375008,236.86359412442914,False
41,4,164,984000000,3936000000,hybrid,200000,10k_to_fout_over_2,492000000.0,26.901096574602295,16.02475545714309,12.04139061377997,10.799538629925257,44.361695188529396,44.361695188529396,223.3229657348205,75.50415204317608,246.479270745564,False
9,14,126,216000000,3024000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,22.364792095938075,20.058267681635435,6.3213922517116385,6.3213922517116385,184.54221147122973,98.45870263530702,216.0359303028756,False
9,14,126,216000000,3024000000,hybrid,400000,10k_to_fout_over_2,108000000.0,37.636023593246435,22.86874093200628,22.366642262723392,20.059927037129388,20.783647418102536,20.783647418102536,186.25096425620902,98.46869840186999,219.2978412887284,False
10,12,120,240000000,2880000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,23.48303170073498,21.061181065717207,6.3213922517116385,6.3213922517116385,193.7693220447912,103.38163776707238,226.38109579526994,False
10,12,120,240000000,2880000000,hybrid,400000,10k_to_fout_over_2,120000000.0,37.63602414594297,22.868741286190712,23.484974739588026,21.06292371520231,21.907989410258544,21.907989410258544,195.6359095460352,103.39213565330815,229.9084671218892,False
11,12,132,264000000,3168000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,21.348210637031798,19.1465282415611,6.3213922517116385,6.3213922517116385,176.1539291316284,93.98330706097488,206.6505882168318,False
11,12,132,264000000,3168000000,hybrid,400000,10k_to_fout_over_2,132000000.0,37.636024504168134,22.868741515566935,21.34997725013195,19.1481126604236,22.977380181387108,22.977380181387108,177.91444474926664,93.99285203428164,210.49001712670318,False
12,10,120,288000000,2880000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,23.48303170073498,21.061181065717207,6.3213922517116385,6.3213922517116385,193.7693220447912,103.38163776707238,226.38109579526994,False
12,10,120,288000000,2880000000,hybrid,400000,10k_to_fout_over_2,144000000.0,37.636024738795115,22.86874166591494,23.4849751295445,21.062924064941804,23.999166652198586,23.999166652198586,195.77405116569085,103.3921383179947,230.4429949169995,False
13,10,130,312000000,3120000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,21.676644646832283,19.441090214508186,6.3213922517116385,6.3213922517116385,178.86398957980725,95.42920409268218,209.68059969550887,False
13,10,130,312000000,3120000000,hybrid,400000,10k_to_fout_over_2,156000000.0,37.63602489969777,22.868741768948215,21.67843867878845,19.442699224466875,24.979191339993395,24.979191339993395,180.7761338693152,95.43889763117642,214.06526279342788,False
14,8,112,336000000,2688000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,25.160391107930334,22.56555114183986,6.3213922517116385,6.3213922517116385,207.60998790513344,110.76604046472039,241.93456427692823,False
14,8,112,336000000,2688000000,hybrid,400000,10k_to_fout_over_2,168000000.0,37.63602501023969,22.868741839780544,25.162473544387677,22.56741881258379,25.922191265400397,25.922191265400397,209.89978647961289,110.77729249997601,246.4859774844257,False
15,8,120,360000000,2880000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,23.48303170073498,21.061181065717207,6.3213922517116385,6.3213922517116385,193.7693220447912,103.38163776707238,226.38109579526994,False
15,8,120,360000000,2880000000,hybrid,400000,10k_to_fout_over_2,180000000.0,37.63602508889071,22.86874189014602,23.484975359817824,21.062924271466603,26.83207036365253,26.83207036365253,195.97123590168795,103.39214009571069,231.23412490601945,False
16,8,128,384000000,3072000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,22.01534221943904,19.74485724910988,6.3213922517116385,6.3213922517116385,181.65873941699175,96.92028540663034,212.80750744587536,False
16,8,128,384000000,3072000000,hybrid,400000,10k_to_fout_over_2,192000000.0,37.636025144649636,22.86874192587403,22.017164434226803,19.74649153535004,27.71209122386834,27.71209122386834,183.78307549149994,96.93013164379036,217.99476705012268,False
17,8,136,408000000,3264000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,20.7203220888838,18.58339505798577,6.3213922517116385,6.3213922517116385,170.97293121599225,91.2190921474168,200.86413695521145,False
17,8,136,408000000,3264000000,hybrid,400000,10k_to_fout_over_2,204000000.0,37.63602518529377,22.868741951901736,20.722037138150863,18.584933230893373,28.565013565549037,28.565013565549037,173.0282874522476,91.22835941846935,206.41602199782227,False
18,8,144,432000000,3456000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,19.569193083945812,17.550984221431005,6.3213922517116385,6.3213922517116385,161.474435037326,86.15136480589364,190.27901200149694,True
18,8,144,432000000,3456000000,hybrid,400000,10k_to_fout_over_2,216000000.0,37.636025214701974,22.868741970745017,19.570812868823907,17.552436954750963,29.393196491705357,29.393196491705357,163.46805742057805,86.16011739413744,196.2239693281944,True
19,6,114,456000000,2736000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,24.718980737615766,22.16966427970232,6.3213922517116385,6.3213922517116385,203.96770741556972,108.82277659691829,237.8377716264469,False
19,6,114,456000000,2736000000,hybrid,400000,10k_to_fout_over_2,228000000.0,37.636025236468164,22.868741984683837,24.72102679674012,22.17149932477822,30.198675467642627,30.198675467642627,206.5517749131766,108.83383266615722,243.66885963607365,False
20,6,120,480000000,2880000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,23.48303170073498,21.061181065717207,6.3213922517116385,6.3213922517116385,193.7693220447912,103.38163776707238,226.38109579526994,False
20,6,120,480000000,2880000000,hybrid,400000,10k_to_fout_over_2,240000000.0,37.636025252410796,22.868741994898983,23.48497546739352,21.06292436794781,30.983221265710906,30.983221265710906,196.28633905299827,103.39214116116905,232.53563676473988,False
21,6,126,504000000,3024000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,22.364792095938075,20.058267681635435,6.3213922517116385,6.3213922517116385,184.54221147122973,98.45870263530702,216.0359303028756,False
21,6,126,504000000,3024000000,hybrid,400000,10k_to_fout_over_2,252000000.0,37.63602526430949,22.868742002518818,22.36664330973209,20.059927976158047,31.748385785737202,31.748385785737202,186.99826367203065,98.46870596819969,222.53645515562837,False
22,6,132,528000000,3168000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,21.348210637031798,19.1465282415611,6.3213922517116385,6.3213922517116385,176.1539291316284,93.98330706097488,206.6505882168318,False
22,6,132,528000000,3168000000,hybrid,400000,10k_to_fout_over_2,264000000.0,37.63602527307344,22.86874200813422,21.349977709986756,19.148113072852688,32.49553815526063,32.49553815526063,178.55430938100668,93.99285577552465,213.51847666472457,False
23,6,138,552000000,3312000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,20.420027565856504,18.314070491928007,6.3213922517116385,6.3213922517116385,168.49506264764457,89.89707631919337,198.09975867166662,True
23,6,138,552000000,3312000000,hybrid,400000,10k_to_fout_over_2,276000000.0,37.63602527963009,22.868742012333065,20.4217178133021,18.315586420874126,33.22589351695453,33.22589351695453,170.84440238373278,89.90620993509457,205.355334567209,False
24,6,144,576000000,3456000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,19.569193083945812,17.550984221431005,6.3213922517116385,6.3213922517116385,161.474435037326,86.15136480589364,190.27901200149694,True
24,6,144,576000000,3456000000,hybrid,400000,10k_to_fout_over_2,288000000.0,37.63602528445717,22.868742015425976,19.57081290706139,17.552436989044924,33.940536236188144,33.940536236188144,163.77681012962248,86.16011790475345,197.94161759537442,True
25,6,150,600000000,3600000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,18.78642536058798,16.848944852573762,6.3213922517116385,6.3213922517116385,155.01545763583295,82.7053102136579,183.10062364362523,True
25,6,150,600000000,3600000000,hybrid,400000,10k_to_fout_over_2,300000000.0,37.63602528805667,22.868742017731055,18.7879803926727,16.85033951118158,34.64043879629701,34.64043879629701,157.27447351963596,82.71371322950334,191.18867719330427,True
26,6,156,624000000,3744000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,18.063870539026908,16.20090851209016,6.3213922517116385,6.3213922517116385,149.0533246498394,79.52433674390183,176.49036175899835,True
26,6,156,624000000,3744000000,hybrid,400000,10k_to_fout_over_2,312000000.0,37.636025290689275,22.868742019417887,18.065365763517818,16.202249531177394,35.326477322257865,35.326477322257865,151.27218605401245,79.53241660019546,185.0214032351369,True
27,6,162,648000000,3888000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,17.394838296840724,15.600874863494226,6.3213922517116385,6.3213922517116385,143.5328311442898,76.57899093857213,170.3849887166446,True
27,6,162,648000000,3888000000,hybrid,400000,10k_to_fout_over_2,324000000.0,37.636025292633896,22.868742020663195,17.396278143594095,15.602166216057467,35.99944444015768,35.99944444015768,145.7143992129453,76.58677156851071,179.37571620092567,True
28,4,112,672000000,2688000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,25.160391107930334,22.56555114183986,6.3213922517116385,6.3213922517116385,207.60998790513344,110.76604046472039,241.93456427692823,False
28,4,112,672000000,2688000000,hybrid,400000,10k_to_fout_over_2,336000000.0,37.6360252940368,22.86874202156212,25.16247374440197,22.567418991970197,36.660060010861955,36.660060010861955,210.83024743205596,110.77729462442173,249.98162029046625,False
29,4,116,696000000,2784000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,24.292791414553424,21.78742868867297,6.3213922517116385,6.3213922517116385,200.4510228049564,106.94652182800588,233.88472385528448,False
29,4,116,696000000,2784000000,hybrid,400000,10k_to_fout_over_2,348000000.0,37.63602529505552,22.868742022214477,24.29480223666736,21.78923213079968,37.30898015223679,37.30898015223679,203.62265211712682,106.95738794192724,242.2611093527595,False
30,4,120,720000000,2880000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,23.48303170073498,21.061181065717207,6.3213922517116385,6.3213922517116385,193.7693220447912,103.38163776707238,226.38109579526994,False
30,4,120,720000000,2880000000,hybrid,400000,10k_to_fout_over_2,360000000.0,37.63602529577371,22.868742022674674,23.484975495917706,21.062924393530214,37.946804872083746,37.946804872083746,196.8954480862385,103.39214170127893,235.10064453861705,False
31,4,124,744000000,2976000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,22.725514549098364,20.381788128113424,6.3213922517116385,6.3213922517116385,187.51869875302373,100.04674622619905,219.37078503283814,False
31,4,124,744000000,2976000000,hybrid,400000,10k_to_fout_over_2,372000000.0,37.636025296280906,22.868742022999445,22.72739564153344,20.383475219834853,38.57408456464001,38.57408456464001,190.60215503270666,100.05691134422378,228.44683702638346,False
32,4,128,768000000,3072000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,22.01534221943904,19.74485724910988,6.3213922517116385,6.3213922517116385,181.65873941699175,96.92028540663034,212.80750744587536,False
32,4,128,768000000,3072000000,hybrid,400000,10k_to_fout_over_2,384000000.0,37.6360252966254,22.868742023220186,22.017164527948047,19.74649161940563,39.19132557084538,39.19132557084538,184.7021015277933,96.93013288204904,222.25293293068995,False
33,4,132,792000000,3168000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,21.348210637031798,19.1465282415611,6.3213922517116385,6.3213922517116385,176.1539291316284,93.98330706097488,206.6505882168318,False
33,4,132,792000000,3168000000,hybrid,400000,10k_to_fout_over_2,396000000.0,37.6360252968579,22.868742023369066,21.34997772420983,19.14811308560891,39.79899496218464,39.79899496218464,179.15954516330643,93.99285614288289,216.47780757957656,False
34,4,136,816000000,3264000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,20.7203220888838,18.58339505798577,6.3213922517116385,6.3213922517116385,170.97293121599225,91.2190921474168,200.86413695521145,False
34,4,136,816000000,3264000000,hybrid,400000,10k_to_fout_over_2,408000000.0,37.63602529700632,22.868742023464186,20.722037202995725,18.584933289050653,40.397524676643215,40.397524676643215,173.94294771510715,91.22836038670809,211.08513716451245,False
35,4,140,840000000,3360000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,20.12831288634427,18.05244091347189,6.3213922517116385,6.3213922517116385,166.08799032410678,88.61283237177632,195.41636422792342,True
35,4,140,840000000,3360000000,hybrid,400000,10k_to_fout_over_2,420000000.0,37.63602529709893,22.86874202352348,20.12997899724803,18.053935195124588,40.987315110897384,40.987315110897384,169.02437474525544,88.62183581522827,206.04271264387768,False
36,4,144,864000000,3456000000,hybrid,400000,10k_to_10M,10000000,37.63307615439975,22.866849231660858,19.569193083945812,17.550984221431005,6.3213922517116385,6.3213922517116385,161.474435037326,86.15136480589364,190.27901200149694,True
