corner,K,M,target_vco_MHz,code,frequency_at_0p2V_MHz,frequency_at_1V_MHz,nearest_endpoint_margin_MHz,vco_power_max_mW,measured_branch_power_max_mW
ss,26,6,3744.0,28,3725.962312004154,3753.966023315684,9.96602331568432,1.6078199703986,2.49847131576602
ss,27,6,3888.0,10,3875.1041366398335,3906.6583806226445,12.89586336016655,1.5669714386904245,2.459197578580381
ss,28,4,2688.0,243,2683.786213181988,2694.5076527424953,4.21378681801176,2.206109306132319,3.026219658288226
ss,29,4,2784.0,214,2776.007656619073,2787.8478984194926,3.8478984194927217,2.1205047258190852,2.9415632417396624
ss,30,4,2880.0,187,2873.776377679669,2886.8178387604294,6.22362232033062,2.0512792742521175,2.8746260529736944
ss,31,4,2976.0,162,2967.440963977258,2981.7898174751726,5.789817475172519,1.9890926753998954,2.813268335299117
ss,32,4,3072.0,140,3061.644128896573,3077.366806747173,5.366806747173309,1.92387083342745,2.7490570474439604
ss,33,4,3168.0,121,3153.8827140483554,3171.0188828536307,3.0188828536305428,1.870097301375885,2.6973880666399466
ss,34,4,3264.0,102,3248.9268257242875,3267.6110914789188,3.6110914789185524,1.8074553394421804,2.6356489094301385
ss,35,4,3360.0,84,3347.0435363209426,3367.355932223202,7.355932223202228,1.7633701194148803,2.5927085634407434
ss,36,4,3456.0,68,3441.950003722721,3464.0376979237294,8.03769792372942,1.721673840176465,2.552146682255004
ss,37,4,3552.0,55,3533.488509497656,3557.3685612202876,5.368561220287323,1.6732962004504763,2.5055563555108247
ss,38,4,3648.0,41,3628.022559075936,3653.912420799643,5.912420799642563,1.6523046431840935,2.485894935209196
ss,39,4,3744.0,28,3726.1373252959393,3754.158891987334,10.158891987333774,1.6082126977035798,2.442559114362991
ss,40,4,3840.0,16,3820.223732258189,3850.4083522672026,10.408352267202854,1.5876567180802748,2.4227997316543144
ss,41,4,3936.0,6,3910.6470519112313,3943.0578195186754,7.057819518675327,1.546333199209933,2.3828701272687667
ff,9,14,3024.0,149,3014.4159765836494,3027.9088164268787,3.9088164268784524,1.9791616416210835,3.4551656026510287
ff,10,12,2880.0,185,2872.283174970562,2884.0634758341566,4.06347583415699,2.0934396112109175,3.3986893163454663
