k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis
31,4,124,744000000,2976000000,hybrid,1000000,10k_to_fout_over_2,372000000.0,59.550947761409134,36.72859600160658,25.81051833602632,16.36855288553114,38.57408456464001,38.57408456464001,116.97109482930735,25.065547713426355,152.03899575968316,True
32,4,128,768000000,3072000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,24.97149991015705,15.83646293301725,6.3213922517116385,6.3213922517116385,108.3121267151448,24.244334930154565,134.74580885972017,True
32,4,128,768000000,3072000000,hybrid,1000000,10k_to_fout_over_2,384000000.0,59.55094777088049,36.728596007590426,25.003939642099148,15.857035610441738,39.19132557084538,39.19132557084538,113.4074061605683,24.28224941526948,149.31421610084197,True
33,4,132,792000000,3168000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,24.214787791667447,15.35657011686521,6.3213922517116385,6.3213922517116385,105.02994105711011,23.509658114089277,131.7912432832941,True
33,4,132,792000000,3168000000,hybrid,1000000,10k_to_fout_over_2,396000000.0,59.55094777718108,36.728596011569344,24.246244504056154,15.376519381488077,39.79899496218464,39.79899496218464,110.05952068766032,23.54642373351988,146.81646716774438,True
34,4,136,816000000,3264000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,23.502588150736045,14.904906289898587,6.3213922517116385,6.3213922517116385,101.94082514366568,22.818197581321947,129.03444858885854,True
34,4,136,816000000,3264000000,hybrid,1000000,10k_to_fout_over_2,408000000.0,59.5509477812663,36.72859601415042,23.533119667355333,14.924268812493095,40.397524676643215,40.397524676643215,106.90840592388322,22.853881908768578,144.5249938355616,True
35,4,140,840000000,3360000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,22.831085632143587,14.479051824472913,6.3213922517116385,6.3213922517116385,99.02823013956095,22.16624907899846,126.45787221517463,True
35,4,140,840000000,3360000000,hybrid,1000000,10k_to_fout_over_2,420000000.0,59.55094778377085,36.728596015732,22.860744820701026,14.497861132760448,40.987315110897384,40.987315110897384,103.93720458972557,22.20091389720833,142.4213813098721,True
36,4,144,864000000,3456000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,22.196888809028486,14.076855940459776,6.3213922517116385,6.3213922517116385,96.27744596901758,21.55051993791517,124.04592023676453,True
36,4,144,864000000,3456000000,hybrid,1000000,10k_to_fout_over_2,432000000.0,59.55094778522419,36.7285960166503,22.225724131792795,14.095142768313954,41.56873825364435,41.56873825364435,101.13093068706428,21.584221881685405,140.48923370203184,True
37,4,148,888000000,3552000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,21.596972895270962,13.696400374501405,6.3213922517116385,6.3213922517116385,93.67535283471982,20.96807345310665,121.78469330752193,True
37,4,148,888000000,3552000000,hybrid,1000000,10k_to_fout_over_2,444000000.0,59.55094778597848,36.728596017126584,21.625028885268012,13.714192963942773,42.14214042974081,42.14214042974081,98.4762182143872,21.000864565897032,138.71390693388065,True
38,4,152,912000000,3648000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,21.02863150329015,13.335968785698737,6.3213922517116385,6.3213922517116385,91.21021197064826,20.416282046445954,119.66176421978014,True
38,4,152,912000000,3648000000,hybrid,1000000,10k_to_fout_over_2,456000000.0,59.55094778631539,36.7285960173395,21.05594917788302,13.353293149179587,42.70784471265198,42.70784471265198,95.96110706092743,20.448210263462947,137.08228168768008,True
39,4,156,936000000,3744000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,20.489435823718605,12.994020868116717,6.3213922517116385,6.3213922517116385,88.87148858678547,19.89278763499862,117.6659896134944,True
39,4,156,936000000,3744000000,hybrid,1000000,10k_to_fout_over_2,468000000.0,59.550947786421226,36.728596017406296,20.516053045154102,13.010901017173007,43.26615305293497,43.26615305293497,93.57486350683114,19.923897204555285,135.5825722046934,True
40,4,160,960000000,3840000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,19.97719992812564,12.6691703464138,6.3213922517116385,6.3213922517116385,86.64970137211584,19.395467944123652,115.78734986339602,True
40,4,160,960000000,3840000000,hybrid,1000000,10k_to_fout_over_2,480000000.0,59.55094778643452,36.728596017414695,20.003151719029823,12.685628491746579,43.817348162571335,43.817348162571335,91.30782660862847,19.42579979623007,134.20416273094062,True
41,4,164,984000000,3936000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,19.489951149390865,12.360166191623218,6.3213922517116385,6.3213922517116385,84.53629402157641,18.92240775036454,114.01681233734348,True
41,4,164,984000000,3936000000,hybrid,1000000,10k_to_fout_over_2,492000000.0,59.55094778644512,36.72859601742141,19.515269969788758,12.376222918779415,44.361695188529396,44.361695188529396,89.15127761991381,18.951999820433894,132.9374680135761,True
