k,m,n,fout_hz,fvco_hz,initial_code,phase0_rad,bank_scale,target_hz,selected_code,searches,trials_last_search,handoff_us,settled,settling_us,final_error_hz,final_phase_rad,control_min_v,control_max_v,rail_violation_cycles
12,10,120,288000000,2880000000,255,0.7,1.0,2880000000,183,1,9,13.208333333333334,True,14.916666666666668,0.0,-3.7226786771533185e-14,0.6,0.6375,0
12,10,120,288000000,2880000000,255,2.8,1.0,2880000000,183,1,9,13.208333333333334,True,16.375,0.0,3.9595935268229847e-13,0.6,0.6838785042044206,0
12,10,120,288000000,2880000000,255,3.1405926535897932,1.0,2880000000,183,1,9,13.208333333333334,True,15.833333333333334,0.0,1.685856772390664e-13,0.6,0.6839702526283882,0
13,10,130,312000000,3120000000,0,0.0,1.0,3120000000,127,1,9,13.208333333333334,True,14.916666666666668,-2.384185791015625e-06,8.841978388514544e-13,0.6,0.6780531167309664,0
13,10,130,312000000,3120000000,0,0.7,1.0,3120000000,127,1,9,13.208333333333334,True,15.25,-2.384185791015625e-06,8.841978388514544e-13,0.6,0.6780531167309607,0
13,10,130,312000000,3120000000,0,2.8,1.0,3120000000,127,1,9,13.208333333333334,True,16.083333333333332,-1.430511474609375e-06,3.3637470572943747e-12,0.6,0.7270866902098592,0
13,10,130,312000000,3120000000,0,3.1405926535897932,1.0,3120000000,127,1,9,13.208333333333334,True,15.708333333333334,-1.430511474609375e-06,-3.912210556889052e-12,0.6,0.7239084502299655,0
13,10,130,312000000,3120000000,127,0.0,1.0,3120000000,127,1,8,11.75,True,14.5,-2.384185791015625e-06,5.351955974251164e-13,0.6,0.6780531167307969,0
13,10,130,312000000,3120000000,127,0.7,1.0,3120000000,127,1,8,11.75,True,14.208333333333332,-1.430511474609375e-06,2.8626071054925183e-13,0.6,0.7223228724952387,0
13,10,130,312000000,3120000000,127,2.8,1.0,3120000000,127,1,8,11.75,True,13.083333333333334,-1.430511474609375e-06,2.8626071054925183e-13,0.6,0.6874583454737143,0
13,10,130,312000000,3120000000,127,3.1405926535897932,1.0,3120000000,127,1,8,11.75,True,12.583333333333334,-1.430511474609375e-06,2.8626071054925183e-13,0.6,0.678444806478096,0
13,10,130,312000000,3120000000,255,0.0,1.0,3120000000,127,1,9,13.208333333333334,True,15.708333333333334,0.0,-3.721688308134777e-14,0.6,0.678053116730795,0
13,10,130,312000000,3120000000,255,0.7,1.0,3120000000,127,1,9,13.208333333333334,True,15.916666666666666,0.0,3.9596925637248387e-13,0.6,0.726184205387848,0
13,10,130,312000000,3120000000,255,2.8,1.0,3120000000,127,1,9,13.208333333333334,True,14.958333333333334,0.0,3.9596925637248387e-13,0.6,0.6977065368045503,0
13,10,130,312000000,3120000000,255,3.1405926535897932,1.0,3120000000,127,1,9,13.208333333333334,True,14.666666666666666,0.0,3.9596925637248387e-13,0.6,0.6892367729323168,0
14,8,112,336000000,2688000000,0,0.0,1.0,2688000000,239,1,9,13.208333333333334,True,15.958333333333332,-8.58306884765625e-06,-2.0165095384378542e-13,0.5987512103629826,0.6494755637859937,0
14,8,112,336000000,2688000000,0,0.7,1.0,2688000000,239,1,9,13.208333333333334,True,15.583333333333334,-8.58306884765625e-06,-2.0165095384378542e-13,0.5987512103629833,0.6442902076267811,0
14,8,112,336000000,2688000000,0,2.8,1.0,2688000000,239,1,9,13.208333333333334,True,14.625,-8.106231689453125e-06,-2.0165095384378542e-13,0.5987512103629965,0.6066650931696752,0
14,8,112,336000000,2688000000,0,3.1405926535897932,1.0,2688000000,239,1,9,13.208333333333334,True,15.291666666666668,-1.4781951904296875e-05,-2.0165095384378542e-13,0.5625,0.6,0
14,8,112,336000000,2688000000,127,0.0,1.0,2688000000,239,1,4,5.916666666666667,True,8.416666666666666,-1.9073486328125e-06,-2.306980297460377e-12,0.5522189474786813,0.6,0
14,8,112,336000000,2688000000,127,0.7,1.0,2688000000,239,1,4,5.916666666666667,True,8.541666666666666,-4.76837158203125e-07,1.0820636227554713e-12,0.5987512103637336,0.6487215433405511,0
14,8,112,336000000,2688000000,127,2.8,1.0,2688000000,239,1,4,5.916666666666667,True,7.791666666666667,-4.76837158203125e-07,1.0820636227554713e-12,0.5987512103637319,0.6209192718628034,0
14,8,112,336000000,2688000000,127,3.1405926535897932,1.0,2688000000,239,1,4,5.916666666666667,True,7.583333333333333,-4.76837158203125e-07,1.0820636227554713e-12,0.5987512103637341,0.6126513317990703,0
14,8,112,336000000,2688000000,255,0.0,1.0,2688000000,239,1,5,7.375,True,9.708333333333334,0.0,1.353223268306391e-13,0.5557533359326896,0.6,0
14,8,112,336000000,2688000000,255,0.7,1.0,2688000000,239,1,5,7.375,True,10.083333333333334,0.0,1.353223268306391e-13,0.549671100936344,0.6,0
14,8,112,336000000,2688000000,255,2.8,1.0,2688000000,239,1,5,7.375,True,9.416666666666668,4.76837158203125e-07,1.705376843500631e-12,0.5987512103637099,0.6298687176688851,0
14,8,112,336000000,2688000000,255,3.1405926535897932,1.0,2688000000,239,1,5,7.375,True,9.291666666666666,4.76837158203125e-07,1.705376843500631e-12,0.5987512103637124,0.622548848920103,0
15,8,120,360000000,2880000000,0,0.0,1.0,2880000000,183,1,9,13.208333333333334,True,15.5,-4.76837158203125e-06,-1.00928475299821e-12,0.5925907069856126,0.6375,0
15,8,120,360000000,2880000000,0,0.7,1.0,2880000000,183,1,9,13.208333333333334,True,15.916666666666666,-5.7220458984375e-06,-1.00928475299821e-12,0.5851621563296844,0.6375,0
15,8,120,360000000,2880000000,0,2.8,1.0,2880000000,183,1,9,13.208333333333334,True,15.333333333333334,0.0,-3.487249381011464e-13,0.6,0.6678281861371859,0
15,8,120,360000000,2880000000,0,3.1405926535897932,1.0,2880000000,183,1,9,13.208333333333334,True,15.25,0.0,-3.487249381011464e-13,0.6,0.6608597194914652,0
15,8,120,360000000,2880000000,127,0.0,1.0,2880000000,183,1,8,11.75,True,13.125,0.0,-7.859636471297526e-13,0.6,0.6375,0
15,8,120,360000000,2880000000,127,0.7,1.0,2880000000,183,1,8,11.75,True,13.708333333333334,1.430511474609375e-06,1.2353105464317557e-13,0.6,0.6375,0
15,8,120,360000000,2880000000,127,2.8,1.0,2880000000,183,1,8,11.75,True,14.333333333333334,0.0,-1.2540383223268897e-13,0.6,0.6839201141920674,0
15,8,120,360000000,2880000000,127,3.1405926535897932,1.0,2880000000,183,1,8,11.75,True,14.208333333333332,0.0,-5.801511831191531e-13,0.6,0.6814311292404929,0
15,8,120,360000000,2880000000,255,0.0,1.0,2880000000,183,1,9,13.208333333333334,True,14.25,4.76837158203125e-07,-3.7226786771533185e-14,0.6,0.6375,0
15,8,120,360000000,2880000000,255,0.7,1.0,2880000000,183,1,9,13.208333333333334,True,14.916666666666668,0.0,-3.7226786771533185e-14,0.6,0.6375,0
15,8,120,360000000,2880000000,255,2.8,1.0,2880000000,183,1,9,13.208333333333334,True,16.375,0.0,3.9595935268229847e-13,0.6,0.6838785042044206,0
15,8,120,360000000,2880000000,255,3.1405926535897932,1.0,2880000000,183,1,9,13.208333333333334,True,15.833333333333334,0.0,1.685856772390664e-13,0.6,0.6839702526283882,0
16,8,128,384000000,3072000000,0,0.0,1.0,3072000000,137,1,9,13.208333333333334,True,15.416666666666668,0.0,1.4956405578876672e-12,0.5908615188087489,0.6313204169630361,0
16,8,128,384000000,3072000000,0,0.7,1.0,3072000000,137,1,9,13.208333333333334,True,15.333333333333334,0.0,3.314629961433524e-12,0.5985138055480211,0.6375,0
16,8,128,384000000,3072000000,0,2.8,1.0,3072000000,137,1,9,13.208333333333334,True,15.666666666666666,0.0,1.2467056710118028e-12,0.6,0.6814332300480942,0
16,8,128,384000000,3072000000,0,3.1405926535897932,1.0,3072000000,137,1,9,13.208333333333334,True,15.583333333333334,0.0,1.2467056710118028e-12,0.6,0.6785807428590378,0
16,8,128,384000000,3072000000,127,0.0,1.0,3072000000,137,1,8,11.75,True,14.0,0.0,-1.0588376112272191e-13,0.5947486470531788,0.6375,0
16,8,128,384000000,3072000000,127,0.7,1.0,3072000000,137,1,8,11.75,True,14.291666666666668,0.0,-1.0588376112272191e-13,0.586935535679472,0.6375,0
16,8,128,384000000,3072000000,127,2.8,1.0,3072000000,137,1,8,11.75,True,13.916666666666666,0.0,9.992870288787767e-14,0.6,0.670621733697446,0
16,8,128,384000000,3072000000,127,3.1405926535897932,1.0,3072000000,137,1,8,11.75,True,13.833333333333334,0.0,9.992870288787767e-14,0.6,0.6643735383580766,0
16,8,128,384000000,3072000000,255,0.0,1.0,3072000000,137,1,9,13.208333333333334,True,15.291666666666668,0.0,-1.9602073664702273e-12,0.599744915032761,0.6375,0
16,8,128,384000000,3072000000,255,0.7,1.0,3072000000,137,1,9,13.208333333333334,True,15.541666666666668,0.0,7.682767388485574e-13,0.5912761268775785,0.6375,0
16,8,128,384000000,3072000000,255,2.8,1.0,3072000000,137,1,9,13.208333333333334,True,15.5,0.0,-1.2996475515731637e-12,0.6,0.6759690719692512,0
16,8,128,384000000,3072000000,255,3.1405926535897932,1.0,3072000000,137,1,9,13.208333333333334,True,15.416666666666668,0.0,5.193418519726928e-13,0.6,0.6715679700091627,0
17,8,136,408000000,3264000000,0,0.0,1.0,3264000000,99,1,9,13.208333333333334,True,15.541666666666668,4.76837158203125e-07,-1.3896379524827204e-12,0.6,0.7136983651625503,0
17,8,136,408000000,3264000000,0,0.7,1.0,3264000000,99,1,9,13.208333333333334,True,15.375000000000002,0.0,1.3388461528360644e-12,0.6,0.7038139847858197,0
17,8,136,408000000,3264000000,0,2.8,1.0,3264000000,99,1,9,13.208333333333334,True,15.375000000000002,0.0,2.2483408546089928e-12,0.6,0.6653831162545333,0
17,8,136,408000000,3264000000,0,3.1405926535897932,1.0,3264000000,99,1,9,13.208333333333334,True,15.458333333333334,0.0,2.2483408546089928e-12,0.6,0.6653831162545303,0
17,8,136,408000000,3264000000,127,0.0,1.0,3264000000,99,1,8,11.75,True,14.541666666666666,0.0,-2.1558735510086122e-14,0.5971199545994545,0.6656191713394382,0
17,8,136,408000000,3264000000,127,0.7,1.0,3264000000,99,1,8,11.75,True,14.0,0.0,-1.469823751231459e-14,0.6,0.7094503993152972,0
17,8,136,408000000,3264000000,127,2.8,1.0,3264000000,99,1,8,11.75,True,12.708333333333334,0.0,1.3723471918089415e-14,0.6,0.6749999999999999,0
17,8,136,408000000,3264000000,127,3.1405926535897932,1.0,3264000000,99,1,8,11.75,True,13.208333333333334,0.0,-1.469823751231459e-14,0.6,0.6749999999999999,0
17,8,136,408000000,3264000000,255,0.0,1.0,3264000000,99,1,9,13.208333333333334,True,15.833333333333334,4.76837158203125e-07,-1.4662416069404918e-12,0.5959573852483039,0.6656927913941125,0
17,8,136,408000000,3264000000,255,0.7,1.0,3264000000,99,1,9,13.208333333333334,True,16.0,1.430511474609375e-06,1.0381290972950025e-13,0.6,0.7028181255241046,0
17,8,136,408000000,3264000000,255,2.8,1.0,3264000000,99,1,9,13.208333333333334,True,14.75,1.430511474609375e-06,-1.7151764938163562e-12,0.6,0.6749999999999999,0
17,8,136,408000000,3264000000,255,3.1405926535897932,1.0,3264000000,99,1,9,13.208333333333334,True,14.166666666666666,1.430511474609375e-06,1.0133076115024285e-12,0.6,0.6749999999999999,0
18,8,144,432000000,3456000000,0,0.0,1.0,3456000000,67,1,9,13.208333333333334,True,15.666666666666666,0.0,-2.94029124232497e-13,0.5964755588747211,0.6543289644362366,0
18,8,144,432000000,3456000000,0,0.7,1.0,3456000000,67,1,9,13.208333333333334,True,15.875,0.0,-2.94029124232497e-13,0.5933417752868356,0.6543289644362372,0
18,8,144,432000000,3456000000,0,2.8,1.0,3456000000,67,1,9,13.208333333333334,True,15.333333333333334,0.0,2.5470177499718592e-14,0.6,0.6873310623875681,0
18,8,144,432000000,3456000000,0,3.1405926535897932,1.0,3456000000,67,1,9,13.208333333333334,True,15.25,0.0,2.5470177499718592e-14,0.6,0.6792328376463641,0
18,8,144,432000000,3456000000,127,0.0,1.0,3456000000,67,1,8,11.75,True,13.958333333333334,1.430511474609375e-06,-9.80757326787351e-14,0.6,0.6853471867878997,0
18,8,144,432000000,3456000000,127,0.7,1.0,3456000000,67,1,8,11.75,True,13.5,2.384185791015625e-06,-9.80757326787351e-14,0.6,0.6748751667901683,0
18,8,144,432000000,3456000000,127,2.8,1.0,3456000000,67,1,8,11.75,True,13.875,1.430511474609375e-06,-9.80757326787351e-14,0.6,0.6543289644364366,0
18,8,144,432000000,3456000000,127,3.1405926535897932,1.0,3456000000,67,1,8,11.75,True,13.5,2.384185791015625e-06,-9.80757326787351e-14,0.6,0.6749999999999999,0
18,8,144,432000000,3456000000,255,0.0,1.0,3456000000,67,1,9,13.208333333333334,True,15.666666666666666,0.0,1.1743734474573553e-13,0.6,0.6912835310288198,0
18,8,144,432000000,3456000000,255,0.7,1.0,3456000000,67,1,9,13.208333333333334,True,15.25,0.0,1.1743734474573553e-13,0.6,0.681263769995779,0
18,8,144,432000000,3456000000,255,2.8,1.0,3456000000,67,1,9,13.208333333333334,True,15.208333333333334,0.0,1.1743734474573553e-13,0.6,0.6543289644363768,0
18,8,144,432000000,3456000000,255,3.1405926535897932,1.0,3456000000,67,1,9,13.208333333333334,True,15.291666666666668,0.0,1.1743734474573553e-13,0.6,0.6543289644363913,0
19,6,114,456000000,2736000000,0,0.0,1.0,2736000000,224,1,9,13.208333333333334,True,15.25,-3.337860107421875e-06,9.547960242688829e-12,0.5963303497578106,0.6375,0
19,6,114,456000000,2736000000,0,0.7,1.0,2736000000,224,1,9,13.208333333333334,True,15.583333333333334,-4.291534423828125e-06,-5.003954985678023e-12,0.5871759328194471,0.6375,0
19,6,114,456000000,2736000000,0,2.8,1.0,2736000000,224,1,4,5.916666666666667,True,8.291666666666668,1.430511474609375e-06,4.177186379186392e-13,0.5659389743221419,0.6243072891653229,0
